date,description,amount,type,category,payment_method,reference_id,notes
2026-02-01,Consulting engagement — Delta Traders,118935.76,income,Consulting,UPI,NEFT-20260201-1001,Customer collection
2026-02-01,Monthly salaries,80982.09,expense,Salaries,Cheque,UPI-20260201-2002,
2026-02-03,Invoice payment — Delta Traders,52386.15,income,Sales,UPI,NEFT-20260203-1003,Customer collection
2026-02-03,Consulting engagement — Tech Innovators,27738.70,income,Consulting,UPI,NEFT-20260203-1004,Customer collection
2026-02-03,Electricity bill,54934.44,expense,Utilities,NEFT,UPI-20260203-2005,
2026-02-03,Raw material purchase,90383.44,expense,Raw Materials,Credit Card,UPI-20260203-2006,
2026-02-07,Service fee — North Star Corp,75060.98,income,Services,Cheque,NEFT-20260207-1007,Customer collection
2026-02-07,Invoice payment — Metro Logistics,157433.32,income,Sales,Cheque,NEFT-20260207-1008,Customer collection
2026-02-07,Marketing campaign,95916.19,expense,Marketing,UPI,UPI-20260207-2009,
2026-02-07,Monthly salaries,114921.75,expense,Salaries,UPI,UPI-20260207-2010,
2026-02-09,Service fee — Prime Retail,229888.24,income,Services,Bank Transfer,NEFT-20260209-1011,Customer collection
2026-02-09,Consulting engagement — Delta Traders,101638.67,income,Consulting,Cheque,NEFT-20260209-1012,Customer collection
2026-02-09,Electricity bill,102712.38,expense,Utilities,UPI,UPI-20260209-2013,
2026-02-12,Invoice payment — North Star Corp,153856.41,income,Sales,UPI,NEFT-20260212-1014,Customer collection
2026-02-12,Consulting engagement — Apex Distributors,361752.23,income,Consulting,Bank Transfer,NEFT-20260212-1015,Customer collection
2026-02-12,Electricity bill,22209.59,expense,Utilities,UPI,UPI-20260212-2016,
2026-02-15,Invoice payment — North Star Corp,102060.64,income,Sales,Bank Transfer,NEFT-20260215-1017,Customer collection
2026-02-15,Machine maintenance,34156.33,expense,Maintenance,Credit Card,UPI-20260215-2018,
2026-02-15,Freight charges,27845.74,expense,Logistics,UPI,UPI-20260215-2019,
2026-02-18,Service fee — Sunrise Retail,69244.33,income,Services,RTGS,NEFT-20260218-1020,Customer collection
2026-02-18,Service fee — Tech Innovators,292154.07,income,Services,NEFT,NEFT-20260218-1021,Customer collection
2026-02-18,Freight charges,28612.23,expense,Logistics,Credit Card,UPI-20260218-2022,
2026-02-18,Office supplies,13909.13,expense,General,Bank Transfer,UPI-20260218-2023,
2026-02-20,Consulting engagement — Sunrise Retail,172932.71,income,Consulting,Bank Transfer,NEFT-20260220-1024,Customer collection
2026-02-20,Machine maintenance,71729.23,expense,Maintenance,UPI,UPI-20260220-2025,
2026-02-20,Marketing campaign,114688.47,expense,Marketing,Bank Transfer,UPI-20260220-2026,
2026-02-24,Service fee — Tech Innovators,300075.73,income,Services,Cheque,NEFT-20260224-1027,Customer collection
2026-02-24,Marketing campaign,53280.62,expense,Marketing,UPI,UPI-20260224-2028,
2026-02-26,Invoice payment — Tech Innovators,204319.17,income,Sales,Bank Transfer,NEFT-20260226-1029,Customer collection
2026-02-26,Consulting engagement — Apex Distributors,204312.28,income,Consulting,UPI,NEFT-20260226-1030,Customer collection
2026-02-26,Freight charges,90807.49,expense,Logistics,Cheque,UPI-20260226-2031,
2026-03-02,Service fee — Prime Retail,197318.29,income,Services,Bank Transfer,NEFT-20260302-1032,Customer collection
2026-03-02,Marketing campaign,30917.29,expense,Marketing,Credit Card,UPI-20260302-2033,
2026-03-02,Monthly salaries,13307.32,expense,Salaries,UPI,UPI-20260302-2034,
2026-03-04,Consulting engagement — Sunrise Retail,192428.63,income,Consulting,RTGS,NEFT-20260304-1035,Customer collection
2026-03-04,Marketing campaign,63918.65,expense,Marketing,Cheque,UPI-20260304-2036,
2026-03-07,Consulting engagement — Tech Innovators,271181.42,income,Consulting,Cheque,NEFT-20260307-1037,Customer collection
2026-03-07,Freight charges,53662.46,expense,Logistics,Cheque,UPI-20260307-2038,
2026-03-07,Office supplies,17354.98,expense,General,Credit Card,UPI-20260307-2039,
2026-03-09,Consulting engagement — Delta Traders,221289.20,income,Consulting,RTGS,NEFT-20260309-1040,Customer collection
2026-03-09,Invoice payment — Global Exports,44054.46,income,Sales,Bank Transfer,NEFT-20260309-1041,Customer collection
2026-03-09,Monthly salaries,107170.59,expense,Salaries,NEFT,UPI-20260309-2042,
2026-03-11,Consulting engagement — Apex Distributors,196147.12,income,Consulting,RTGS,NEFT-20260311-1043,Customer collection
2026-03-11,Office supplies,31323.18,expense,General,UPI,UPI-20260311-2044,
2026-03-14,Invoice payment — Metro Logistics,259846.67,income,Sales,Cheque,NEFT-20260314-1045,Customer collection
2026-03-14,Machine maintenance,56974.32,expense,Maintenance,Bank Transfer,UPI-20260314-2046,
2026-03-14,Monthly salaries,10440.15,expense,Salaries,NEFT,UPI-20260314-2047,
2026-03-16,Invoice payment — Global Exports,214816.87,income,Sales,UPI,NEFT-20260316-1048,Customer collection
2026-03-16,Rent payment,35393.42,expense,Rent,Credit Card,UPI-20260316-2049,
2026-03-16,Monthly salaries,54238.47,expense,Salaries,Cheque,UPI-20260316-2050,
2026-03-18,Invoice payment — Tech Innovators,373621.63,income,Sales,UPI,NEFT-20260318-1051,Customer collection
2026-03-18,Machine maintenance,59105.91,expense,Maintenance,Credit Card,UPI-20260318-2052,
2026-03-21,Service fee — Sunrise Retail,18791.02,income,Services,NEFT,NEFT-20260321-1053,Customer collection
2026-03-21,Office supplies,36161.04,expense,General,Cheque,UPI-20260321-2054,
2026-03-21,Office supplies,21224.24,expense,General,NEFT,UPI-20260321-2055,
2026-03-23,Consulting engagement — Prime Retail,216985.64,income,Consulting,Cheque,NEFT-20260323-1056,Customer collection
2026-03-23,Raw material purchase,70388.33,expense,Raw Materials,Cheque,UPI-20260323-2057,
2026-03-27,Consulting engagement — Delta Traders,47400.91,income,Consulting,UPI,NEFT-20260327-1058,Customer collection
2026-03-27,Monthly salaries,80811.84,expense,Salaries,Credit Card,UPI-20260327-2059,
2026-03-30,Invoice payment — Prime Retail,230463.29,income,Sales,Bank Transfer,NEFT-20260330-1060,Customer collection
2026-03-30,Machine maintenance,78769.23,expense,Maintenance,Cheque,UPI-20260330-2061,
2026-04-03,Invoice payment — Apex Distributors,263789.43,income,Sales,Cheque,NEFT-20260403-1062,Customer collection
2026-04-03,Service fee — Global Exports,163253.41,income,Services,Cheque,NEFT-20260403-1063,Customer collection
2026-04-03,Freight charges,109872.60,expense,Logistics,Bank Transfer,UPI-20260403-2064,
2026-04-03,Raw material purchase,55973.69,expense,Raw Materials,Cheque,UPI-20260403-2065,
2026-04-05,Invoice payment — Tech Innovators,203659.68,income,Sales,UPI,NEFT-20260405-1066,Customer collection
2026-04-05,Monthly salaries,104176.44,expense,Salaries,NEFT,UPI-20260405-2067,
2026-04-05,Marketing campaign,21562.01,expense,Marketing,Cheque,UPI-20260405-2068,
2026-04-09,Consulting engagement — Prime Retail,212121.23,income,Consulting,RTGS,NEFT-20260409-1069,Customer collection
2026-04-09,Consulting engagement — Apex Distributors,56016.25,income,Consulting,UPI,NEFT-20260409-1070,Customer collection
2026-04-09,Monthly salaries,105372.10,expense,Salaries,Cheque,UPI-20260409-2071,
2026-04-09,Rent payment,34683.87,expense,Rent,Cheque,UPI-20260409-2072,
2026-04-11,Consulting engagement — Global Exports,250765.33,income,Consulting,Cheque,NEFT-20260411-1073,Customer collection
2026-04-11,Service fee — Tech Innovators,110161.50,income,Services,Bank Transfer,NEFT-20260411-1074,Customer collection
2026-04-11,Machine maintenance,98460.36,expense,Maintenance,Bank Transfer,UPI-20260411-2075,
2026-04-13,Consulting engagement — Sunrise Retail,377585.85,income,Consulting,UPI,NEFT-20260413-1076,Customer collection
2026-04-13,Consulting engagement — Proxima Ltd,276979.95,income,Consulting,RTGS,NEFT-20260413-1077,Customer collection
2026-04-13,Monthly salaries,12115.42,expense,Salaries,Credit Card,UPI-20260413-2078,
2026-04-17,Consulting engagement — North Star Corp,220776.71,income,Consulting,NEFT,NEFT-20260417-1079,Customer collection
2026-04-17,Raw material purchase,38795.58,expense,Raw Materials,Bank Transfer,UPI-20260417-2080,
2026-04-20,Consulting engagement — Global Exports,55725.26,income,Consulting,RTGS,NEFT-20260420-1081,Customer collection
2026-04-20,Rent payment,109499.96,expense,Rent,Credit Card,UPI-20260420-2082,
2026-04-20,Rent payment,115275.59,expense,Rent,Credit Card,UPI-20260420-2083,
2026-04-23,Consulting engagement — Sunrise Retail,357286.84,income,Consulting,NEFT,NEFT-20260423-1084,Customer collection
2026-04-23,Marketing campaign,21728.15,expense,Marketing,Bank Transfer,UPI-20260423-2085,
2026-04-26,Invoice payment — Proxima Ltd,91243.23,income,Sales,NEFT,NEFT-20260426-1086,Customer collection
2026-04-26,Marketing campaign,97451.42,expense,Marketing,Credit Card,UPI-20260426-2087,
2026-04-26,Electricity bill,6209.58,expense,Utilities,Credit Card,UPI-20260426-2088,
2026-04-29,Invoice payment — Apex Distributors,372848.30,income,Sales,Cheque,NEFT-20260429-1089,Customer collection
